9.104971590909091139e-01 4.353038518553247610e-02
8.938920454545453698e-01 8.427625889386441971e-02
8.992471590909090207e-01 6.103535333129337520e-02
8.965909090909091050e-01 7.533748106831689162e-02
9.018465909090910282e-01 7.265228844838400590e-02
8.907954545454543904e-01 7.643084850319530055e-02
8.999857954545457117e-01 5.772357467351484084e-02
8.949573863636363091e-01 8.889078569446405564e-02
8.989062500000000178e-01 8.441415863204949910e-02
8.939630681818182545e-01 8.699341669737341298e-02
8.906107954545454675e-01 9.479684127492055135e-02
9.006960227272727826e-01 7.164942256122822095e-02
8.965482954545453964e-01 7.163663087239609262e-02
8.891051136363636864e-01 8.155466510689203530e-02
9.040909090909091672e-01 7.971030250241072090e-02
9.009801136363635443e-01 6.204225453785908173e-02
8.970880681818180769e-01 7.096162712716727605e-02
8.996164772727273107e-01 7.199799147257311682e-02
8.712784090909089230e-01 1.184525809349017966e-01
9.056534090909091894e-01 6.717401483928216177e-02
